ShortItemNo    ;Shimanoitem              ;3rd item nr              ;barcode/ean  ;description line 1            ;description line 2                      ;T;  Price;SalesPr;Retail ;CNV;S;Itemgroup                     ;Brand          ;Filename picture                                  ;SaQ;A;
000000000925981;TEC20022                 ;TEC20022                 ;8717009799430;Technium 200m 0,225mm         ;                                        ;2;6.25;12.49;12.49;001;N;Monofilament                  ;Shimano        ;20231023_SKU_TEC20022.jpg                         ;001;N;
000000001792925;TEC20020A                ;TEC20020A                ;8717009896122;Technium A Mono               ;200m 0.205mm 3.8kg Grey                 ;2;5.75;11.49;11.49;006;N;Monofilament                  ;Shimano        ;20260102_SKU_TEC20020A.jpg                        ;001;Y;
000000000925979;TEC20020                 ;TEC20020                 ;8717009799423;Technium 200m 0,205mm         ;                                        ;2;5.75;11.49;11.49;001;N;Monofilament                  ;Shimano        ;20231023_SKU_TEC20020.jpg                         ;001;N;
000000001792924;TEC20018A                ;TEC20018A                ;8717009896115;Technium A Mono               ;200m 0.185mm 3.2kg Grey                 ;2;6.25;12.49;12.49;006;N;Monofilament                  ;Shimano        ;20260102_SKU_TEC20018A.jpg                        ;001;Y;
000000000925977;TEC20018                 ;TEC20018                 ;8717009799416;Technium 200m 0,185mm         ;                                        ;2;6.25;12.49;12.49;001;N;Monofilament                  ;Shimano        ;20231023_SKU_TEC20018.jpg                         ;001;N;
000000001792923;TEC20016A                ;TEC20016A                ;8717009896108;Technium A Mono               ;200m 0.165mm 2.6kg Grey                 ;2;6.75;13.49;13.49;006;N;Monofilament                  ;Shimano        ;20260102_SKU_TEC20016A.jpg                        ;001;Y;
000000000925975;TEC20016                 ;TEC20016                 ;8717009799393;Technium 200m 0,165mm         ;                                        ;2;6.75;13.49;13.49;001;N;Monofilament                  ;Shimano        ;20231023_SKU_TEC20016.jpg                         ;001;N;
000000000925973;TEC18QPPB                ;TEC18QPPB                ;8717009799577;Technium 2990m 0,185mm PB     ;Premium Box 1/4 Pound                   ;2;25.48;50.95;50.95;001;N;Monofilament                  ;Shimano        ;20231023_SKU_TEC18QPPB.jpg                        ;001;N;
000000000843711;TBRSTB8620551            ;TBRSTB8620551            ;8717009791625;TBRSTB862055 Section 1        ;                                        ;2;30.77;55.95;55.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000843705;TBRSTB7640601            ;TBRSTB7640601            ;8717009791533;TBRSTB764060 Section 1        ;                                        ;2;29.12;52.95;52.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000843699;TBRSJ9050801             ;TBRSJ9050801             ;8717009791441;TBRSJ905080 Section 1         ;                                        ;2;34.07;61.95;61.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000693327;TBMSHBT3024T1            ;TBMSHBT3024T1            ;0022255502863;TBMSHBT3024 Section 1 28-122g ;                                        ;2;15.92;28.95;28.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000640261;TBMSCX2730XH61           ;TBMSCX2730XH61           ;0022255486231;TBMSCX2730XH6 Section 1       ;                                        ;2;13.72;24.95;24.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000640243;TBMSCX2730H61            ;TBMSCX2730H61            ;0022255486170;TBMSCX2730H6 Section 1        ;                                        ;2;13.17;23.95;23.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000640237;TBMSCX2427MH61           ;TBMSCX2427MH61           ;0022255485999;TBMSCX2427MH6 Section 1       ;                                        ;2;11.52;20.95;20.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000640225;TBMSCX2124M61            ;TBMSCX2124M61            ;0022255485876;TBMSCX2124M6 Section 1        ;                                        ;2;10.97;19.95;19.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000000456932;TALMSTC66762751          ;TALMSTC66762751          ;0022255434638;TALMSTC6676275 1              ;                                        ;2;20.32;36.95;36.95;001;N;Rod Sections (excl poles)     ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;N;
000000001737914;TACTRLL750               ;TACTRLL750               ;8717009876438;Rod Talica Trolling Lite      ;2,08m  6'10"  750g  1+1pc               ;2;251.37;418.95;418.95;001;N;.                             ;Shimano        ;20230124_SKU_TACTRLL750.jpg                       ;001;Y;
000000001737913;TACTRLL500               ;TACTRLL500               ;8717009876421;Rod Talica Trolling Lite      ;2,08m  6'10"  500g  1+1pc               ;2;244.77;407.95;407.95;001;N;.                             ;Shimano        ;20230124_SKU_TACTRLL500.jpg                       ;001;Y;
000000001791351;TACBSTP5080S             ;TACBSTP5080S             ;8717009891820;Talica Standup Spiral         ;1,82m 6'0" 50-80lb 1pc                  ;2;377.97;629.95;629.95;001;N;.                             ;Shimano        ;20260102_SKU_TACBSTP5080S.jpg                     ;001;Y;
000000001791350;TACBSTP3050S             ;TACBSTP3050S             ;8717009891813;Talica Standup Spiral         ;1,82m 6'0" 30-50lb 1pc                  ;2;353.97;589.95;589.95;001;N;.                             ;Shimano        ;20260102_SKU_TACBSTP3050S.jpg                     ;001;Y;
000000000553881;TAC8                     ;TAC8                     ;0022255111454;Boat Talica 8                 ;Lever Drag                              ;2;297.47;424.95;424.95;001;N;Multiplier reels              ;Shimano        ;20231006_SKU_TAC8.jpg                             ;001;Y;
000000001785411;TAC50IIA                 ;TAC50IIA                 ;0022255301404;Reel Talica II A              ;50lb 2-Speed Right Hand                 ;2;696.47;994.95;994.95;001;N;.                             ;Shimano        ;20251009_SKU_TAC50IIA.jpg                         ;001;Y;
000000001785410;TAC40IIA                 ;TAC40IIA                 ;0022255301398;Reel Talica II A              ;40lb 2-Speed Right Hand                 ;2;661.47;944.95;944.95;001;N;.                             ;Shimano        ;20251009_SKU_TAC40IIA.jpg                         ;001;Y;
000000001779604;TAC25IIA                 ;TAC25IIA                 ;0022255285414;Reel Talica II                ;25lb 2-Speed Right Hand                 ;2;475.97;679.95;679.95;001;Y;.                             ;Shimano        ;240911_SKU_TAC25IIA.jpg                           ;001;Y;
000000001779603;TAC20IIA                 ;TAC20IIA                 ;0022255285407;Reel Talica II                ;20lb 2-Speed Right Hand                 ;2;461.97;659.95;659.95;001;Y;.                             ;Shimano        ;240911_SKU_TAC20IIA.jpg                           ;001;Y;
000000001737948;TAC16IIA                 ;TAC16IIA                 ;0022255275231;Reel Talica II                ;16lb 2-Speed Right Hand                 ;2;391.97;559.95;559.95;001;N;Multiplier reels              ;Shimano        ;20230703_SKU_TAC16IIA_01.jpg                      ;001;Y;
000000000553878;TAC16                    ;TAC16                    ;0022255111485;Talica Multiplier             ;16                                      ;2;349.97;499.95;499.95;001;N;Multiplier reels              ;Shimano        ;20231006_SKU_TAC16.jpg                            ;001;Y;
000000001737947;TAC12IIA                 ;TAC12IIA                 ;0022255275224;Reel Talica II                ;12lb 2-Speed Right Hand                 ;2;384.97;549.95;549.95;001;N;Multiplier reels              ;Shimano        ;20230703_SKU_TAC12IIA_01.jpg                      ;001;Y;
000000000553877;TAC12                    ;TAC12                    ;0022255111478;Talica Multiplier             ;12                                      ;2;342.97;489.95;489.95;001;Y;Multiplier reels              ;Shimano        ;20231006_SKU_TAC12.jpg                            ;001;Y;
000000000212678;SWPTIP150SGSD            ;SWPTIP150SGSD            ;0022255078856;SWP 1,50 OZ SGSD (SM WP)      ;Small guide Small diameter              ;2;12.62;22.95;22.95;001;N;Feeder Feeder Tips            ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;Y;
000000000212677;SWPTIP100SGSD            ;SWPTIP100SGSD            ;0022255078849;SWP 1,00 OZ SGSD (SM WP)      ;Small guide Small diameter              ;2;12.62;22.95;22.95;001;N;Feeder Feeder Tips            ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;Y;
000000000212676;SWPTIP050SGSD            ;SWPTIP050SGSD            ;8717009797269;SWP 0,50 OZ SGSD (SM WP)      ;Small guide Small diameter              ;2;12.62;22.95;22.95;001;N;Feeder Feeder Tips            ;Shimano        ;Fish_No_Pic_Available_600x600.jpg                 ;001;Y;
000000001779602;SVDX810SBMH              ;SVDX810SBMH              ;8717009880633;Rod Vengeance DX Spin Sea Bass;2,69m 10-50g 2pc                        ;2;34.98;69.95;69.95;001;Y;.                             ;Shimano        ;240911_SKU_SVDX810SBMH.jpg                        ;001;Y;
000000001779601;SVDX810SBM               ;SVDX810SBM               ;8717009880626;Rod Vengeance DX Spin Sea Bass;2,69m 10-35g 2pc                        ;2;33.48;66.95;66.95;001;Y;.                             ;Shimano        ;240911_SKU_SVDX810SBM.jpg                         ;001;Y;
000000001779600;SVDX810SBH               ;SVDX810SBH               ;8717009880640;Rod Vengeance DX Spin Sea Bass;2,69m 15-60g 2pc                        ;2;36.98;73.95;73.95;001;N;.                             ;Shimano        ;240911_SKU_SVDX810SBH.jpg                         ;001;Y;
000000001779598;SVDX711SBMH              ;SVDX711SBMH              ;8717009880602;Rod Vengeance DX Spin Sea Bass;2,41m 10-50g 2pc                        ;2;29.48;58.95;58.95;001;Y;.                             ;Shimano        ;240911_SKU_SVDX711SBMH.jpg                        ;001;Y;
000000001779597;SVDX711SBM               ;SVDX711SBM               ;8717009880596;Rod Vengeance DX Spin Sea Bass;2,41m 7-35g 2pc                         ;2;26.98;53.95;53.95;001;Y;.                             ;Shimano        ;240911_SKU_SVDX711SBM.jpg                         ;001;Y;
000000001779596;SVDX711SBH               ;SVDX711SBH               ;8717009880619;Rod Vengeance DX Spin Sea Bass;2,41m 15-60g 2pc                        ;2;30.98;61.95;61.95;001;Y;.                             ;Shimano        ;240911_SKU_SVDX711SBH.jpg                         ;001;Y;
000000001779591;SVDX611SBMH              ;SVDX611SBMH              ;8717009880572;Rod Vengeance DX Spin Sea Bass;2,11m 10-50g 2pc                        ;2;25.48;50.95;50.95;001;Y;.                             ;Shimano        ;240911_SKU_SVDX611SBMH.jpg                        ;001;Y;
000000001779590;SVDX611SBM               ;SVDX611SBM               ;8717009880565;Rod Vengeance DX Spin Sea Bass;2,11m 7-35g 2pc                         ;2;22.98;45.95;45.95;001;Y;.                             ;Shimano        ;240911_SKU_SVDX611SBM.jpg                         ;001;Y;
000000001779589;SVDX611SBH               ;SVDX611SBH               ;8717009880589;Rod Vengeance DX Spin Sea Bass;2,11m 15-60g 2pc                        ;2;27.48;54.95;54.95;001;Y;.                             ;Shimano        ;240911_SKU_SVDX611SBH.jpg                         ;001;Y;
000000001683052;SVCX24SBMH               ;SVCX24SBMH               ;8717009852029;VENGEANCE CX SEA BASS 240 MH  ;                                        ;2;27.48;54.95;54.95;001;N;Vengeance Spinning            ;Shimano        ;20200526_Vengeance Sea Bass 240MH_Main.jpg        ;001;N;
000000000927401;SUP4000GTRD              ;SUP4000GTRD              ;0022255196208;SUPER GT 4000 RD              ;                                        ;2;80.97;134.95;134.95;001;Y;Rear drag reels               ;Shimano        ;20230926_SKU_SUP4000GTRD.jpg                      ;001;Y;
000000000927400;SUP2500GTRD              ;SUP2500GTRD              ;0022255196192;SUPER GT 2500 RD              ;                                        ;2;77.97;129.95;129.95;001;Y;Rear drag reels               ;Shimano        ;20230926_SKU_SUP2500GTRD.jpg                      ;001;Y;
000000001565788;SUNYASGR                 ;SUNYASGR                 ;8717009846882;Sunglass Yasei Green Revo     ;                                        ;2;19.98;39.95;39.95;001;Y;Sunglasses                    ;Shimano        ;20190513_Yasei Sunglasses_SUNYASGR.jpg            ;001;Y;
000000000670462;SUNSP02                  ;SUNSP02                  ;8717009778275;SUNGLASS SPEEDMASTER (Floating;(Floating)                              ;2;22.48;44.95;44.95;001;Y;Sunglasses                    ;Shimano        ;20231025_SKU_SUNSP02.jpg                          ;001;Y;
000000000670461;SUNPUR02                 ;SUNPUR02                 ;8717009778268;Sunglass Purist               ;(Floating)                              ;2;24.98;49.95;49.95;001;Y;Sunglasses                    ;Shimano        ;20231025_SKU_SUNPUR02.jpg                         ;001;Y;
